ts_code,name,aliases
159516.SZ,半导体设备ETF国泰,半导体设备
159570.SZ,港股通创新药ETF汇添富,港股通创新药|创新药
159667.SZ,工业母机ETF国泰,工业母机
159745.SZ,建材ETF国泰,建材
159766.SZ,旅游ETF富国,旅游
159796.SZ,电池ETF汇添富,电池
159819.SZ,人工智能ETF易方达,人工智能|AI
159825.SZ,农业ETF富国,农业
159851.SZ,金融科技ETF华宝,金融科技
159855.SZ,影视ETF银华,影视
159865.SZ,养殖ETF国泰,养殖
159869.SZ,游戏ETF华夏,游戏
159887.SZ,银行ETF,银行
159915.SZ,创业板ETF,创业板
159941.SZ,纳指ETF广发,纳指|纳斯达克
159985.SZ,豆粕ETF华夏,豆粕
159996.SZ,家电ETF国泰,家电
510300.SH,沪深300ETF,300ETF|沪深300
512000.SH,券商ETF,券商
512200.SH,房地产ETF南方,房地产
512480.SH,半导体ETF国联安,半导体
512690.SH,酒ETF鹏华,酒
512710.SH,军工龙头ETF富国,军工龙头|军工
512800.SH,银行ETF华宝,银行
512880.SH,证券ETF国泰,证券
512980.SH,传媒ETF广发,传媒
513050.SH,中概互联网ETF易方达,中概互联网|中概
513060.SH,恒生医疗ETF博时,恒生医疗|医疗
513360.SH,教育ETF博时,教育
515030.SH,新能源车ETF华夏,新能源车
515210.SH,钢铁ETF国泰,钢铁
515220.SH,煤炭ETF国泰,煤炭
515790.SH,光伏ETF华泰柏瑞,光伏
515880.SH,通信ETF国泰,通信
516510.SH,云计算ETF易方达,云计算
516560.SH,养老ETF华宝,养老
516610.SH,医疗设备ETF大成,医疗设备
516970.SH,基建ETF广发,基建
517520.SH,黄金股ETF永赢,黄金股
518880.SH,黄金ETF华安,黄金
561510.SH,中药ETF华泰柏瑞,中药
561800.SH,稀有金属ETF华富,稀有金属
563230.SH,卫星ETF,卫星
563530.SH,卫星ETF易方达,卫星
